7493
SPOM_SPNCRNA.2000	SPOM_SPNCRNA.2000	MissingGeneType
SPOM_SPNCRNA.2001	SPOM_SPNCRNA.2001	MissingGeneType
SPOM_SPNCRNA.2002	SPOM_SPNCRNA.2002	MissingGeneType
SPOM_SPNCRNA.2003	SPOM_SPNCRNA.2003	MissingGeneType
SPOM_SPNCRNA.2004	SPOM_SPNCRNA.2004	MissingGeneType
SPOM_SPNCRNA.2005	SPOM_SPNCRNA.2005	MissingGeneType
SPOM_SPNCRNA.2006	SPOM_SPNCRNA.2006	MissingGeneType
SPOM_SPNCRNA.70	SPOM_SPNCRNA.70	MissingGeneType
SPOM_SPNCRNA.2007	SPOM_SPNCRNA.2007	MissingGeneType
SPOM_SPNCRNA.2008	SPOM_SPNCRNA.2008	MissingGeneType
SPOM_SPNCRNA.2009	SPOM_SPNCRNA.2009	MissingGeneType
SPOM_SPNCRNA.1701	SPOM_SPNCRNA.1701	MissingGeneType
SPOM_SPNCRNA.2011	SPOM_SPNCRNA.2011	MissingGeneType
SPOM_SPNCRNA.2012	SPOM_SPNCRNA.2012	MissingGeneType
SPOM_SPNCRNA.2013	SPOM_SPNCRNA.2013	MissingGeneType
SPOM_SPNCRNA.2014	SPOM_SPNCRNA.2014	MissingGeneType
SPOM_SPNCRNA.2015	SPOM_SPNCRNA.2015	MissingGeneType
SPOM_SPNCRNA.2016	SPOM_SPNCRNA.2016	MissingGeneType
SPOM_SPNCRNA.2017	SPOM_SPNCRNA.2017	MissingGeneType
SPOM_SPNCRNA.136	SPOM_SPNCRNA.136	MissingGeneType
SPOM_SPNCRNA.601	SPOM_SPNCRNA.601	MissingGeneType
SPOM_SPNCRNA.2018	SPOM_SPNCRNA.2018	MissingGeneType
SPOM_SPNCRNA.2019	SPOM_SPNCRNA.2019	MissingGeneType
SPOM_SPNCRNA.2020	SPOM_SPNCRNA.2020	MissingGeneType
SPOM_SPNCRNA.2021	SPOM_SPNCRNA.2021	MissingGeneType
SPOM_SPNCRNA.2022	SPOM_SPNCRNA.2022	MissingGeneType
SPOM_SPNCRNA.2023	SPOM_SPNCRNA.2023	MissingGeneType
SPOM_SPNCRNA.602	SPOM_SPNCRNA.602	MissingGeneType
SPOM_SPNCRNA.19	SPOM_SPNCRNA.19	MissingGeneType
SPOM_SPNCRNA.2024	SPOM_SPNCRNA.2024	MissingGeneType
SPOM_SPNCRNA.2025	SPOM_SPNCRNA.2025	MissingGeneType
SPOM_SPNCRNA.2026	SPOM_SPNCRNA.2026	MissingGeneType
SPOM_SPNCRNA.2027	SPOM_SPNCRNA.2027	MissingGeneType
SPOM_SPNCRNA.2028	SPOM_SPNCRNA.2028	MissingGeneType
SPOM_SPNCRNA.2029	SPOM_SPNCRNA.2029	MissingGeneType
SPOM_SPNCRNA.2030	SPOM_SPNCRNA.2030	MissingGeneType
SPOM_SPNCRNA.2031	SPOM_SPNCRNA.2031	MissingGeneType
SPOM_SPNCRNA.2032	SPOM_SPNCRNA.2032	MissingGeneType
SPOM_SPNCRNA.2033	SPOM_SPNCRNA.2033	MissingGeneType
SPOM_SPNCRNA.2034	SPOM_SPNCRNA.2034	MissingGeneType
SPOM_SPNCRNA.2035	SPOM_SPNCRNA.2035	MissingGeneType
SPOM_SPNCRNA.137	SPOM_SPNCRNA.137	MissingGeneType
SPOM_SPNCRNA.37	SPOM_SPNCRNA.37	MissingGeneType
SPOM_SPNCRNA.2036	SPOM_SPNCRNA.2036	MissingGeneType
SPOM_SPNCRNA.2037	SPOM_SPNCRNA.2037	MissingGeneType
SPOM_SPNCRNA.2038	SPOM_SPNCRNA.2038	MissingGeneType
SPOM_SPNCRNA.603	SPOM_SPNCRNA.603	MissingGeneType
SPOM_SPNCRNA.2039	SPOM_SPNCRNA.2039	MissingGeneType
SPOM_SPNCRNA.2040	SPOM_SPNCRNA.2040	MissingGeneType
SPOM_SPNCRNA.2041	SPOM_SPNCRNA.2041	MissingGeneType
SPOM_SPNCRNA.2042	SPOM_SPNCRNA.2042	MissingGeneType
SPOM_SPNCRNA.604	SPOM_SPNCRNA.604	MissingGeneType
SPOM_SPNCRNA.139	SPOM_SPNCRNA.139	MissingGeneType
SPOM_SPNCRNA.605	SPOM_SPNCRNA.605	MissingGeneType
SPOM_SPNCRNA.2043	SPOM_SPNCRNA.2043	MissingGeneType
SPOM_SPNCRNA.2044	SPOM_SPNCRNA.2044	MissingGeneType
SPOM_SPNCRNA.606	SPOM_SPNCRNA.606	MissingGeneType
SPOM_SPNCRNA.2045	SPOM_SPNCRNA.2045	MissingGeneType
SPOM_SPNCRNA.607	SPOM_SPNCRNA.607	MissingGeneType
SPOM_SPNCRNA.2046	SPOM_SPNCRNA.2046	MissingGeneType
SPOM_SPNCRNA.2047	SPOM_SPNCRNA.2047	MissingGeneType
SPOM_SPNCRNA.2048	SPOM_SPNCRNA.2048	MissingGeneType
SPOM_SPNCRNA.2049	SPOM_SPNCRNA.2049	MissingGeneType
SPOM_SPNCRNA.2050	SPOM_SPNCRNA.2050	MissingGeneType
SPOM_SPNCRNA.2051	SPOM_SPNCRNA.2051	MissingGeneType
SPOM_SPNCRNA.2052	SPOM_SPNCRNA.2052	MissingGeneType
SPOM_SPNCRNA.608	SPOM_SPNCRNA.608	MissingGeneType
SPOM_SPNCRNA.2053	SPOM_SPNCRNA.2053	MissingGeneType
SPOM_SPNCRNA.2054	SPOM_SPNCRNA.2054	MissingGeneType
SPOM_SPNCRNA.2055	SPOM_SPNCRNA.2055	MissingGeneType
SPOM_SPNCRNA.2056	SPOM_SPNCRNA.2056	MissingGeneType
SPOM_SPNCRNA.2057	SPOM_SPNCRNA.2057	MissingGeneType
SPOM_SPNCRNA.2058	SPOM_SPNCRNA.2058	MissingGeneType
SPOM_SPNCRNA.609	SPOM_SPNCRNA.609	MissingGeneType
SPOM_SPNCRNA.147	SPOM_SPNCRNA.147	MissingGeneType
SPOM_SPNCRNA.610	SPOM_SPNCRNA.610	MissingGeneType
SPOM_SPNCRNA.2059	SPOM_SPNCRNA.2059	MissingGeneType
SPOM_SPNCRNA.2060	SPOM_SPNCRNA.2060	MissingGeneType
SPOM_SPNCRNA.2061	SPOM_SPNCRNA.2061	MissingGeneType
SPOM_SPNCRNA.611	SPOM_SPNCRNA.611	MissingGeneType
